selfcheck_nli_score,selfcheck_bert_score,fleek_score,lm_v_lm_score,ground_truth,lbhd_sent_avg,lbhd_sent_min,lbhd_sent_normalized_product,lbhd_concept_avg,lbhd_concept_min,lbhd_concept_normalized_product
0.8103403136071533,0.3113700286132675,False,False,True,0.6691345131696789,0.4552298560992565,0.999976204226428,0.28375214926440573,0.5095502310649982,0.9999732432043078
0.9988211477719968,0.23281269314551883,False,False,True,0.30856941711606334,0.6391011491375311,0.9467820235963167,0.13719470822701196,0.6750872638742567,0.979032994285516
0.47929421875102524,0.36223334369836047,False,False,False,0.567720322782411,0.178510321957277,0.39837152692437416,0.34954438215944794,0.24974327127798057,0.45155034211515366
0.008276850088752353,0.15312425337717267,False,False,False,0.2689076261924721,0.12946274309832195,0.1831924999513146,0.13030188236585927,0.16091599783385613,0.17004671824931816
0.6000545240833863,0.1377684955522892,False,False,True,0.314782030797093,0.7052583463556263,0.9949964177531747,0.27131990366604786,0.7346477637516395,0.9990636674504265
0.7341060964853788,0.16436194835794102,False,True,False,0.26970640750024444,0.37675372992492817,0.9998081139764161,0.22000226456374583,0.44752514891607653,0.9999983565665951
0.23910281043936363,0.3051781067601028,False,False,True,0.2739253231494754,0.26223336474581105,0.25518895539582864,0.21706430628319495,0.3813924576892731,0.9975007784523902
0.5818827822757084,0.3051781067601028,False,True,False,0.010255501200753692,0.0,0.0068754401397510545,0.015220062917789212,0.09971246694392799,0.02227694639771549
0.606855771083887,0.2820038376913472,False,False,False,0.7770909972053557,0.6176571153074402,0.9999731990022374,0.6711829063657297,0.6557814675585931,1.0
0.2219552287730689,0.23138474927848846,False,False,False,0.0,0.018250256468371973,0.0,0.0,0.0,0.0
0.5547565825464655,0.2150384743098606,False,True,False,0.2780864660248301,0.3343218894760449,0.9969330804563303,0.16801441036305897,0.4006982960669614,0.9908916625958568
0.9119142675723642,0.23505903643514495,False,False,True,0.311284805873866,0.4698300612739543,0.9905451657719158,0.10832119624206649,0.5226946137638393,0.9462960005227046
0.0009306044356051529,0.37037708221307913,False,False,False,0.3971548479094644,0.23987680641213727,0.3444178738868531,0.21335778814207496,0.2055863601232859,0.286136318176875
